#,Program Title,Agency/Office,Types of Assistance,Date Modified,Date Published
10.560,State Administrative Expenses for Child Nutrition,Department of Agriculture / Food and Nutrition Service,A - FORMULA GRANTS,8/14/2015 5:00,1/1/1977 0:00
10.561,State Administrative Matching Grants for the Supplemental Nutrition Assistance Program,Department of Agriculture / Food and Nutrition Service,A - FORMULA GRANTS,8/14/2015 5:00,1/1/1977 0:00
10.568,Emergency Food Assistance Program (Administrative Costs),Department of Agriculture / Food and Nutrition Service,A - FORMULA GRANTS,7/25/2015 5:00,1/1/1984 0:00
10.665,Schools and Roads - Grants to States,Department of Agriculture / Forest Service,A - FORMULA GRANTS,8/15/2015 5:01,1/1/1980 0:00
10.202,Cooperative Forestry Research,Department of Agriculture / National Institute of Food and Agriculture,A - FORMULA GRANTS,8/19/2015 11:00,1/1/1970 0:00
10.203,Payments to Agricultural Experiment Stations Under the Hatch Act,Department of Agriculture / National Institute of Food and Agriculture,A - FORMULA GRANTS,8/18/2014 14:51,1/1/1970 0:00
10.205,Payments to 1890 Land-Grant Colleges and Tuskegee University,Department of Agriculture / National Institute of Food and Agriculture,A - FORMULA GRANTS,8/24/2015 9:56,1/1/1981 0:00
10.207,Animal Health and Disease Research,Department of Agriculture / National Institute of Food and Agriculture,A - FORMULA GRANTS,8/19/2015 17:12,1/1/1981 0:00
10.222,Tribal Colleges Endowment Program,Department of Agriculture / National Institute of Food and Agriculture,A - FORMULA GRANTS,8/25/2015 14:32,1/1/1997 0:00
11.407,Interjurisdictional Fisheries Act of 1986,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),A - FORMULA GRANTS,7/20/2012 5:02,1/1/1971 0:00
12.112,Payments to States in Lieu of Real Estate Taxes,"Department of Defense / Department of the Army, Office of the Chief of Engineers",A - FORMULA GRANTS,3/20/2011 5:00,1/1/1986 0:00
12.558,"Department of Defense Impact Aid (Supplement, CWSD, BRAC)",Department of Defense / Office of the Secretary of Defense,A - Formula Grants,9/28/2014 5:00,10/16/2009 8:44
84.002,Adult Education - Basic Grants to States,"Department of Education / Office of Career, Technical, and Adult Education",A - FORMULA GRANTS,11/4/2015 15:48,1/1/1980 0:00
84.048,Career and Technical Education -- Basic Grants to States,"Department of Education / Office of Career, Technical, and Adult Education",A - FORMULA GRANTS,11/4/2015 15:48,1/1/1980 0:00
84.010,Title I Grants to Local Educational Agencies,Department of Education / Office of Elementary and Secondary Education,A - FORMULA GRANTS,9/6/2015 5:00,1/1/1980 0:00
84.011,Migrant Education_State Grant Program,Department of Education / Office of Elementary and Secondary Education,A - FORMULA GRANTS,8/29/2015 5:01,1/1/1980 0:00
84.013,Title I State Agency Program for Neglected and Delinquent Children and Youth,Department of Education / Office of Elementary and Secondary Education,A - FORMULA GRANTS,9/3/2015 5:01,1/1/1980 0:00
